tick,energy,job_queue_len,stop_and_go,turning,load_mass,moving_robots
0.15,0.0,2,0,0,0.0,0
0.3,0.078291,1,0,1,0.0,0
0.45,0.078291,0,0,1,0.0,0
0.6,0.078291,0,0,1,0.0,0
0.75,0.0,0,0,0,0.0,0
0.9,0.0,0,0,0,0.0,0
1.05,0.0,0,0,0,0.0,0
1.2,0.0,2,0,0,0.0,1
1.35,0.003503,1,0,0,0.0,1
1.5,0.084129,0,0,1,0.0,1
1.65,0.086465,0,0,1,0.0,1
1.8,0.01051,0,0,0,0.0,1
1.95,0.012845,0,0,0,0.0,2
2.1,0.018684,0,0,0,0.0,3
2.25,0.026858,2,0,0,0.0,4
2.4,0.115659,1,0,1,0.0,4
2.55,0.304455,0,0,1,0.0,4
2.7,0.134343,0,0,1,0.0,4
2.85,0.063058,0,0,0,0.0,4
3.0,0.070065,0,0,0,0.0,4
3.15,0.074736,0,0,0,0.0,5
3.3,0.078239,2,0,0,0.0,6
3.45,0.164704,1,0,1,0.0,6
3.6,0.169375,0,0,1,0.0,7
3.75,0.086413,0,1,0,0.0,6
3.9,0.169375,0,0,1,0.0,6
4.05,0.09342,0,0,0,0.0,7
4.2,0.10393,2,0,0,0.0,8
4.35,0.11444,1,0,0,0.0,9
4.5,0.190395,0,1,1,0.0,9
4.65,0.198569,0,0,1,0.0,9
4.8,0.127285,0,0,0,0.0,9
4.95,0.134291,0,0,0,0.0,9
5.1,0.130788,0,1,0,0.0,9
5.25,0.217253,2,0,1,0.0,10
5.4,0.225427,1,0,1,0.0,10
5.55,0.224259,0,1,1,0.0,10
5.7,0.96785,0,1,1,0.0,10
5.85,0.23944,0,0,1,0.0,10
6.0,0.168156,0,0,0,0.0,10
6.15,0.175163,2,0,0,0.0,11
6.3,0.266298,1,0,1,0.0,13
6.45,0.196182,1,1,0,0.0,12
6.6,0.28615,1,0,1,0.0,12
6.75,0.21253,1,0,0,0.0,12
6.9,0.217201,1,0,0,0.0,13
7.05,0.219537,1,1,0,0.0,13
7.2,0.290821,4,1,1,0.0,13
7.35,0.291989,4,0,1,0.0,14
7.5,0.398548,4,0,1,0.0,15
7.65,0.224208,4,1,0,0.0,14
7.8,0.290821,4,2,1,0.0,12
7.95,0.376118,4,0,2,0.0,13
8.1,0.22304,4,0,0,0.0,13
8.25,0.22304,7,0,0,0.0,14
8.4,0.22304,7,1,0,0.0,13
8.55,0.290821,7,1,1,0.0,12
8.7,0.287318,7,1,1,0.0,11
8.85,0.291989,7,0,1,0.0,12
9.0,0.21253,7,0,0,0.0,13
9.15,0.211363,10,0,0,377.0,14
9.3,0.206423,10,1,0,377.0,13
9.45,0.964041,10,2,0,377.0,12
9.6,0.365371,10,0,2,377.0,14
9.75,0.212893,10,1,0,377.0,13
9.9,0.301125,10,0,1,377.0,13
10.05,0.225169,10,0,0,377.0,13
10.2,0.221067,13,1,0,377.0,13
10.35,0.301693,13,1,1,377.0,13
10.5,0.301693,13,1,1,377.0,13
10.65,0.95733,13,1,0,0.0,12
10.8,0.400884,13,0,1,0.0,12
10.95,0.231214,13,0,0,0.0,12
11.1,0.220705,13,1,0,391.0,12
11.25,0.233445,13,0,0,391.0,14
11.4,0.245831,13,0,0,391.0,14
11.55,0.258217,13,0,0,391.0,15
11.7,0.274106,13,0,0,391.0,15
11.85,0.280653,13,1,0,391.0,14
12.0,0.368286,13,0,1,391.0,15
12.15,0.290454,13,0,0,391.0,16
12.3,0.293958,13,0,0,391.0,16
12.45,0.478423,13,0,1,768.0,17
12.6,0.279991,13,3,0,377.0,15
12.75,1.973541,13,0,1,377.0,15
12.9,0.297539,13,1,0,377.0,14
13.05,0.305145,13,0,0,377.0,14
13.2,0.315086,13,0,0,377.0,14
13.35,0.322692,13,0,0,377.0,14
13.5,0.323292,13,0,0,377.0,14
13.65,0.323891,13,0,0,377.0,15
13.8,0.330329,13,0,0,377.0,15
13.95,0.30931,13,2,0,377.0,13
14.1,0.377659,13,0,1,757.0,14
14.25,0.302638,13,0,0,757.0,14
14.4,0.310267,13,0,0,1526.0,16
14.55,0.505302,13,0,1,1526.0,17
14.7,0.322945,13,1,0,1526.0,16
14.85,0.414852,13,0,1,1526.0,16
15.0,0.347219,13,0,0,1526.0,16
15.15,0.339138,13,1,0,1526.0,15
15.3,1.073162,13,1,0,1526.0,14
15.45,1.030779,13,1,0,1149.0,14
15.6,0.452845,13,1,1,769.0,13
15.75,0.459007,13,0,1,769.0,14
15.9,0.256169,13,2,0,391.0,12
16.05,1.186621,13,1,1,391.0,11
16.2,0.32395,13,0,1,777.0,12
16.35,0.245496,13,1,0,777.0,11
16.5,0.322121,13,0,1,777.0,12
16.65,0.250338,13,0,0,777.0,12
16.8,0.258014,13,0,0,777.0,12
16.95,0.247006,13,2,0,777.0,10
17.1,0.581307,13,0,3,777.0,10
17.25,0.823927,13,0,1,1154.0,11
17.4,0.251907,13,0,0,1534.0,12
17.55,0.265118,13,0,0,1534.0,12
17.7,0.216618,13,3,0,1526.0,10
17.85,1.776115,13,0,2,1526.0,11
18.0,0.248606,13,1,0,1526.0,10
18.15,0.345075,13,0,1,1526.0,11
18.3,0.288465,13,0,0,1526.0,11
18.45,0.306643,13,0,0,1526.0,11
18.6,0.327157,13,0,0,1526.0,11
18.75,0.3424,13,0,0,1907.0,14
18.9,0.364996,13,0,0,1907.0,14
19.05,0.382582,13,0,0,1907.0,14
19.2,0.402504,13,0,0,1907.0,14
19.35,0.387354,13,1,0,1907.0,13
19.5,0.386763,13,0,0,2293.0,14
19.65,0.580035,13,0,1,2293.0,14
19.8,0.401819,13,0,0,2293.0,15
19.95,0.400098,13,0,0,2293.0,15
20.1,0.401881,13,0,0,2293.0,16
20.25,0.3728,13,2,0,1912.0,14
20.4,1.276873,13,1,1,1910.0,14
20.55,0.533571,13,0,1,1910.0,14
20.7,0.354521,13,0,0,1910.0,14
20.85,0.352147,13,0,0,1910.0,14
21.0,0.330411,13,1,0,1524.0,13
21.15,0.493826,13,1,1,1144.0,12
21.3,0.47708,13,1,1,1536.0,12
21.45,1.066096,13,0,0,1536.0,12
21.6,0.286815,13,2,0,1536.0,10
21.75,1.138813,13,0,1,1536.0,10
21.9,0.273942,13,1,0,1161.0,9
22.05,0.450812,13,0,1,1542.0,10
22.2,0.433211,13,1,1,1919.0,10
22.35,0.261237,13,0,0,1919.0,10
22.5,0.263635,13,1,0,1919.0,9
22.65,0.350162,13,0,1,1919.0,9
22.8,0.255866,13,1,0,1913.0,9
22.95,0.455039,13,0,1,2293.0,10
23.1,0.280785,13,1,0,2293.0,10
23.25,0.486085,13,0,1,2293.0,10
23.4,0.329037,13,0,0,2293.0,11
23.55,0.536672,13,0,1,2293.0,11
23.7,0.376658,13,0,0,2668.0,12
23.85,0.399845,13,0,0,3048.0,13
24.0,0.428346,13,0,0,3048.0,13
24.15,0.446563,13,0,0,3048.0,13
24.3,0.470082,13,0,0,3048.0,14
24.45,0.491763,13,0,0,3048.0,14
24.6,0.501681,13,0,0,3440.0,15
24.75,0.514386,13,0,0,3440.0,15
24.9,0.511513,13,0,0,3440.0,15
25.05,0.514565,13,0,0,3440.0,15
25.2,0.519952,13,0,0,3832.0,16
25.35,0.496706,13,1,0,3452.0,15
25.5,0.664371,13,0,1,3452.0,15
25.65,0.48246,13,0,0,3452.0,15
25.8,0.467174,13,2,0,3071.0,13
25.95,0.723449,13,1,2,3071.0,12
26.1,1.215163,13,1,0,2696.0,11
26.25,0.612939,13,0,1,2696.0,11
26.4,0.421542,13,0,0,2696.0,11
26.55,0.421542,13,0,0,2696.0,11
26.7,0.391912,13,1,0,2304.0,10
26.85,0.549085,13,1,1,2304.0,9
27.0,0.380138,13,1,1,1918.0,8
27.15,0.366413,13,0,1,2689.0,10
27.3,0.301081,13,0,0,2689.0,10
27.45,0.270124,13,2,0,2298.0,8
27.6,0.259466,13,0,0,2679.0,10
27.75,0.260264,13,0,0,2679.0,10
27.9,0.435389,13,0,1,3054.0,11
28.05,0.247026,13,1,0,2674.0,10
28.2,0.411195,13,1,1,2296.0,9
28.35,0.404625,13,1,1,1904.0,8
28.5,0.416413,13,0,1,2296.0,9
28.65,0.247454,13,0,0,2682.0,11
28.8,0.246033,13,1,0,2291.0,11
28.95,0.452941,13,1,1,2291.0,10
29.1,0.275211,13,2,0,2291.0,8
29.25,0.447775,13,0,2,2291.0,8
29.4,0.307177,13,0,0,2291.0,8
29.55,0.317904,13,0,0,3074.0,10
29.7,0.338943,13,1,0,3074.0,9
29.85,0.430429,13,0,1,3454.0,10
30.0,0.325942,13,1,0,3452.0,10
30.15,0.355261,13,0,0,3844.0,11
30.3,0.390021,13,0,0,3844.0,11
30.45,0.403644,13,0,0,3844.0,11
30.6,0.401161,13,0,0,4235.0,12
30.75,0.422854,13,0,0,4627.0,13
30.9,0.715359,13,0,1,4627.0,15
31.05,0.429428,13,3,0,3452.0,12
31.2,0.800507,13,1,2,3452.0,12
31.35,0.547391,13,0,1,3452.0,12
31.5,0.491654,13,1,0,3452.0,12
31.65,0.510595,13,0,0,3832.0,13
31.8,0.523245,13,0,0,3832.0,13
31.95,0.525705,13,0,0,3832.0,13
32.1,0.54639,13,0,0,3832.0,13
32.25,0.56161,13,0,0,3832.0,13
32.4,0.555771,13,1,0,3832.0,12
32.55,1.312707,13,0,0,3832.0,12
32.7,0.555187,13,0,0,3832.0,12
32.85,0.562863,13,0,0,4615.0,14
33.0,0.581263,13,0,0,4615.0,16
33.15,0.593742,13,0,0,4615.0,16
33.3,0.593299,13,0,0,4615.0,16
33.45,0.598149,13,0,0,4615.0,16
33.6,0.589749,13,1,0,4235.0,15
33.75,0.594466,13,0,0,4235.0,15
33.9,0.599184,13,0,0,4615.0,16
34.05,0.582828,13,1,0,4235.0,17
34.2,0.780372,13,0,1,4620.0,18
34.35,0.617895,13,0,0,4620.0,18
34.5,0.624762,13,0,0,4620.0,18
34.65,0.627043,13,0,0,4620.0,18
34.8,0.624046,13,0,0,4620.0,18
34.95,0.623976,13,0,0,4620.0,18
35.1,0.589126,13,1,0,4621.0,18
35.25,0.569967,13,1,0,4229.0,17
35.4,0.718721,13,2,1,4243.0,16
35.55,0.788336,13,1,2,4243.0,15
35.7,0.601318,13,1,1,3858.0,14
35.85,0.707225,13,0,1,4238.0,15
36.0,0.528851,13,0,0,4238.0,15
36.15,0.524086,13,0,0,4238.0,15
36.3,0.513818,13,1,0,3858.0,14
36.45,0.69657,13,0,1,3858.0,14
36.6,0.478999,13,2,0,3075.0,12
36.75,0.835287,13,0,2,3075.0,12
36.9,0.467267,13,0,0,3075.0,12
37.05,0.473106,13,0,0,3467.0,13
37.2,0.454741,13,2,0,3844.0,13
37.35,1.301767,13,0,1,3844.0,14
37.5,0.46197,13,0,0,4229.0,15
37.65,0.475239,13,0,0,4229.0,15
37.8,0.471755,13,1,0,3838.0,14
37.95,0.656872,13,1,1,3838.0,13
38.1,0.484227,13,0,0,4218.0,14
38.25,0.502771,13,0,0,4218.0,14
38.4,0.516356,13,0,0,5001.0,16
38.55,0.505282,13,1,0,4609.0,15
38.7,0.493752,13,1,0,4609.0,14
38.85,0.497045,13,1,0,5001.0,14
39.0,0.591879,13,0,1,5001.0,15
39.15,0.674315,13,1,1,4623.0,14
39.3,0.662265,13,1,1,4623.0,13
39.45,0.565994,13,0,1,4623.0,13
39.6,0.471518,13,1,0,4628.0,14
39.75,0.659234,13,0,1,4628.0,14
39.9,0.458505,13,1,0,4236.0,13
40.05,0.609684,13,1,1,3844.0,13
40.2,0.620902,13,0,1,3844.0,13
40.35,0.426505,13,1,0,3463.0,12
40.5,0.351878,13,3,0,2703.0,9
40.65,1.126821,13,0,0,3084.0,11
40.8,0.372536,13,0,0,3477.0,12
40.95,0.342197,13,1,0,3470.0,12
41.1,0.373073,13,0,0,3470.0,13
41.25,0.315343,13,2,0,2703.0,11
41.4,0.5112,13,0,1,3089.0,12
41.55,0.353887,13,0,0,3089.0,12
41.7,0.356962,13,1,0,3481.0,12
41.85,0.372602,13,0,0,3873.0,13
42.0,0.374817,13,1,0,3867.0,13
42.15,0.406544,13,0,0,3867.0,13
42.3,0.401356,13,1,0,3867.0,13
42.45,0.611724,13,0,1,3867.0,13
42.6,0.452414,13,0,0,4622.0,15
42.75,0.484803,13,1,0,4242.0,14
42.9,0.514565,13,0,0,4242.0,14
43.05,0.506955,13,2,0,4253.0,13
43.2,1.471225,13,0,1,4253.0,13
43.35,0.539364,13,0,0,4253.0,14
43.5,0.551174,13,0,0,4253.0,14
43.65,0.551205,13,0,0,4633.0,15
43.8,0.540178,13,1,0,4240.0,14
43.95,0.720733,13,1,1,3860.0,13
44.1,0.537072,13,1,0,4253.0,13
44.25,0.615841,13,0,1,4253.0,13
44.4,0.514277,13,1,0,4248.0,13
44.55,0.701106,13,0,1,4248.0,13
44.7,0.522366,13,0,0,4248.0,13
44.85,0.504203,13,1,0,4629.0,13
45.0,1.174817,13,0,2,4629.0,13
45.15,0.512958,13,0,0,4629.0,13
45.3,0.513059,13,0,0,4629.0,13
45.45,0.465127,13,2,0,3859.0,11
45.6,0.454702,13,1,0,4252.0,11
45.75,0.535862,13,0,1,4630.0,12
45.9,0.441838,13,1,0,4250.0,12
46.05,0.628132,13,0,1,4250.0,12
46.2,0.458342,13,0,0,4635.0,13
46.35,0.43965,13,1,0,4258.0,12
46.5,0.565572,13,2,1,3491.0,10
46.65,0.57562,13,0,1,3491.0,11
46.8,0.413053,13,0,0,3491.0,11
46.95,0.423064,13,0,0,3491.0,11
47.1,0.407093,13,1,0,3116.0,10
47.25,0.414761,13,0,0,3116.0,10
47.4,0.422539,13,0,0,3491.0,12
47.55,0.43703,13,0,0,3491.0,12
47.7,0.445392,13,0,0,3871.0,13
47.85,0.458587,13,0,0,3871.0,13
48.0,0.466084,13,0,0,3871.0,13
48.15,0.439319,13,2,0,3882.0,12
48.3,1.387273,13,1,1,4268.0,12
48.45,0.541895,13,0,1,4268.0,12
48.6,0.45536,13,1,0,3876.0,11
48.75,0.651949,13,0,1,3876.0,11
48.9,0.471514,13,1,0,4253.0,11
49.05,0.56309,13,0,1,4253.0,11
49.2,0.490085,13,0,0,4253.0,11
49.35,0.490109,13,0,0,4253.0,11
49.5,0.495387,13,0,0,4253.0,11
49.65,0.48186,13,1,0,3864.0,10
49.8,0.643338,13,1,1,3489.0,9
49.95,0.639622,13,0,1,3867.0,10
50.1,0.646643,13,0,1,3867.0,11
50.25,0.464208,13,0,0,3867.0,11
50.4,0.466458,13,0,0,4259.0,12
50.55,0.482129,13,0,0,4259.0,12
50.7,0.49513,13,0,0,4259.0,13
50.85,0.506356,13,0,0,4259.0,13
51.0,0.508785,13,0,0,4259.0,13
51.15,0.503538,13,0,0,4259.0,13
51.3,0.505904,13,0,0,4259.0,13
51.45,0.495099,13,1,0,4268.0,13
51.6,0.4477,13,2,0,4265.0,12
51.75,1.22152,13,0,0,5037.0,14
51.9,0.45589,13,1,0,4652.0,13
52.05,0.642656,13,1,1,4266.0,12
52.2,0.480078,13,1,0,4266.0,11
52.35,0.540132,13,1,1,4277.0,11
52.5,0.469899,13,0,0,4277.0,11
52.65,0.475263,13,0,0,4277.0,11
52.8,0.48051,13,0,0,4277.0,11
52.95,0.461713,13,1,0,3888.0,10
53.1,0.461783,13,0,0,4279.0,11
53.25,0.44568,14,1,0,3887.0,10
53.4,0.597286,14,1,1,4288.0,11
53.55,0.414485,14,1,0,3911.0,10
53.7,0.419833,14,0,0,4674.0,12
53.85,0.446493,14,0,0,5051.0,13
54.0,0.465033,14,0,0,5051.0,14
54.15,0.468279,14,0,0,5051.0,14
54.3,0.642706,14,0,1,5051.0,14
54.45,0.437435,14,1,0,4659.0,13
54.6,0.397179,14,2,0,3891.0,11
54.75,0.545084,14,1,1,3505.0,10
54.9,0.468533,14,3,1,2738.0,8
55.05,0.665655,14,0,2,3130.0,9
55.2,0.331789,15,0,0,3130.0,9
55.35,0.344907,15,0,0,3522.0,10
55.5,0.34725,15,1,0,3130.0,9
55.65,0.498144,15,1,1,2737.0,8
55.8,0.328383,15,0,0,2737.0,8
55.95,0.344545,15,0,0,3118.0,9
56.1,0.368659,15,0,0,3118.0,9
56.25,0.379402,15,0,0,3118.0,9
56.4,0.384758,15,0,0,3509.0,10
56.55,0.398183,15,0,0,3895.0,11
56.7,0.416875,15,0,0,4676.0,13
56.85,0.390118,15,2,0,3899.0,11
57.0,0.597481,15,0,1,3899.0,11
57.15,0.438362,15,0,0,4274.0,12
57.3,0.467715,15,0,0,4666.0,13
57.45,0.497135,15,0,0,4666.0,13
57.6,0.518559,15,0,0,4666.0,13
57.75,0.534643,15,0,0,4666.0,13
57.9,0.54537,15,0,0,5439.0,15
58.05,0.572053,15,0,0,5439.0,15
58.2,0.588044,15,0,0,5439.0,15
58.35,0.564171,15,1,0,5058.0,14
58.5,0.697092,15,1,1,5060.0,14
58.65,0.537998,15,0,0,5837.0,16
58.8,0.575518,15,0,0,5837.0,16
58.95,0.562174,15,1,0,5451.0,15
59.1,0.54356,15,1,0,5071.0,14
59.25,0.731614,15,0,1,5071.0,14
59.4,0.559442,15,0,0,5071.0,14
59.55,0.540528,15,1,0,4680.0,13
59.7,0.715478,15,0,1,4680.0,13
59.85,0.466213,15,2,0,3918.0,11
60.0,0.436591,15,1,0,3526.0,10
60.15,0.603748,15,1,1,3901.0,11
60.3,0.619438,15,0,1,3901.0,11
60.45,0.444348,15,0,0,3901.0,11
60.6,0.417439,15,2,0,3124.0,9
60.75,0.606391,15,0,1,3124.0,9
60.9,0.425738,15,0,0,3504.0,10
61.05,0.42292,15,0,0,3504.0,10
61.2,0.420577,15,0,0,3504.0,10
61.35,0.415766,15,1,0,3515.0,10
61.5,0.364902,15,1,0,3123.0,9
61.65,0.346425,15,1,0,2742.0,8
61.8,0.52416,15,0,1,3134.0,9
61.95,0.35217,15,0,0,3525.0,10
62.1,0.328184,15,1,0,3132.0,9
62.25,0.333556,15,0,0,3132.0,9
62.4,0.328434,15,1,0,3524.0,9
62.55,0.430943,15,0,1,3524.0,9
62.7,0.363419,15,0,0,3524.0,9
62.85,0.349979,15,1,0,3133.0,8
63.0,0.541067,15,0,1,3918.0,10
63.15,0.382306,15,0,0,3918.0,10
63.3,0.403855,15,0,0,3918.0,10
63.45,0.430775,15,0,0,4299.0,11
63.6,0.44951,15,0,0,4299.0,11
63.75,0.446762,15,1,0,3907.0,10
63.9,0.643436,15,0,1,3907.0,10
64.05,0.473503,15,0,0,3907.0,10
64.2,0.484192,15,0,0,3907.0,11
64.35,0.487602,15,0,0,3907.0,11
64.5,0.465574,15,1,0,3514.0,10
64.65,0.659543,15,0,1,3905.0,11
64.8,0.489097,15,0,0,4285.0,12
64.95,0.488583,15,0,0,4285.0,12
65.1,0.46183,15,1,0,4279.0,12
65.25,0.477365,16,0,0,4279.0,12
65.4,0.495628,16,0,0,4659.0,13
65.55,0.521809,16,0,0,5051.0,14
65.7,0.531984,16,0,0,5051.0,14
65.85,0.531875,16,0,0,5051.0,14
66.0,0.537177,16,0,0,5432.0,15
66.15,0.518337,16,2,0,5036.0,14
66.3,0.502335,16,1,0,5049.0,14
66.45,0.664029,16,1,1,5451.0,15
66.6,0.502549,16,0,0,5451.0,15
66.75,0.4997,16,1,0,5059.0,14
66.9,0.489797,16,1,0,4679.0,13
67.05,0.457486,16,2,0,3896.0,11
67.2,0.654307,16,0,1,4287.0,12
67.35,0.495542,16,0,0,4679.0,13
67.5,0.49367,16,1,0,4302.0,12
67.65,0.681136,16,0,1,4302.0,12
67.8,0.515227,16,0,0,4302.0,12
67.95,0.478268,16,1,0,3917.0,11
68.1,0.465165,16,0,0,4297.0,12
68.25,0.459988,16,0,0,4297.0,12
68.4,0.459872,16,0,0,4297.0,12
68.55,0.470553,16,0,0,4297.0,12
68.7,0.459981,16,1,0,4297.0,11
68.85,0.484313,16,2,1,3905.0,10
69.0,0.775191,16,0,2,3905.0,10
69.15,0.419343,16,0,0,3905.0,10
69.3,0.424652,16,0,0,4282.0,11
69.45,0.432433,16,0,0,4282.0,11
69.6,0.408,16,1,0,3891.0,10
69.75,0.575153,16,1,1,3514.0,9
69.9,0.365128,16,1,0,3121.0,8
70.05,0.34625,16,1,0,2729.0,7
70.2,0.537622,16,0,1,2729.0,7
70.35,0.362435,16,0,0,2729.0,7
70.5,0.357063,16,0,0,2729.0,8
70.65,0.349823,16,0,0,3513.0,10
70.8,0.36305,16,0,0,3513.0,10
70.95,0.325179,16,1,0,3124.0,9
71.1,0.314082,16,1,0,2733.0,8
71.25,0.507615,16,0,1,2733.0,8
71.4,0.335008,16,0,0,3124.0,9
71.55,0.350706,16,0,0,3124.0,9
71.7,0.369102,16,0,0,3124.0,9
71.85,0.376817,16,0,0,3909.0,11
72.0,0.395318,16,0,0,3909.0,11
72.15,0.406093,16,0,0,3909.0,11
72.3,0.371076,16,1,0,3517.0,10
72.45,0.341446,16,1,0,3125.0,9
72.6,0.33103,16,1,0,2733.0,8
72.75,0.30678,16,1,0,2341.0,7
72.9,0.312151,16,0,0,3513.0,10
73.05,0.334012,16,0,0,3513.0,10
73.2,0.347807,16,0,0,3513.0,10
73.35,0.337324,16,1,0,3120.0,9
73.5,0.528919,16,0,1,3120.0,9
73.65,0.358811,16,0,0,3120.0,9
73.8,0.367218,16,0,0,3120.0,9
73.95,0.381013,16,0,0,3512.0,10
74.1,0.381372,16,0,0,3904.0,11
74.25,0.367802,16,2,0,3512.0,9
74.4,1.912756,16,0,0,3512.0,9
74.55,0.338348,15,1,0,3123.0,8
74.7,0.510427,15,0,1,3123.0,8
74.85,0.327581,15,0,0,3123.0,8
75.0,0.322202,15,0,0,3123.0,8
75.15,0.322209,15,0,0,3516.0,9
75.3,0.295293,15,1,0,3124.0,8
75.45,0.44089,15,1,1,2732.0,7
75.6,0.435518,15,0,1,2732.0,7
75.75,0.230701,15,1,0,2340.0,6
75.9,0.357462,15,2,1,1557.0,4
76.05,0.362596,15,0,1,1943.0,6
76.2,0.373342,16,0,1,2332.0,7
76.35,0.209533,16,0,0,2712.0,8
76.5,0.230529,16,0,0,2712.0,8
76.65,0.23543,16,1,0,2321.0,7
76.8,0.253764,16,0,0,2713.0,8
76.95,0.269544,16,0,0,3496.0,10
77.1,0.29337,16,0,0,3888.0,11
77.25,0.31987,16,0,0,4280.0,12
77.4,0.322295,16,1,0,4268.0,12
77.55,0.504551,16,1,1,4274.0,12
77.7,0.533366,16,0,1,4665.0,13
77.85,0.383828,16,0,0,5053.0,14
78.0,0.394509,16,1,0,5046.0,14
78.15,0.418693,16,0,0,5046.0,14
78.3,0.383754,16,1,0,4654.0,13
78.45,0.394637,16,0,0,4654.0,13
78.6,0.397697,16,1,0,4274.0,12
78.75,0.51938,16,3,1,3125.0,9
78.9,0.701482,16,0,2,3125.0,9
79.05,0.352781,16,0,0,3125.0,9
79.2,0.358161,16,0,0,3514.0,10
79.35,0.288512,16,3,0,2736.0,8
79.5,0.835131,16,0,3,2736.0,8
79.65,0.296414,16,0,0,2736.0,8
79.8,0.296336,16,0,0,2736.0,8
79.95,0.282771,16,1,0,2343.0,7
80.1,0.463552,16,0,1,2343.0,7
80.25,0.288018,16,0,0,2343.0,7
80.4,0.293335,16,0,0,3115.0,9
80.55,0.314674,16,0,0,3872.0,11
80.7,0.346518,16,0,0,3872.0,11
80.85,0.362329,16,0,0,3872.0,11
81.0,0.359332,16,1,0,3480.0,10
81.15,0.369811,16,0,0,4644.0,13
81.3,0.385622,16,1,0,4644.0,13
81.45,0.404361,16,0,0,4644.0,13
81.6,0.420413,16,0,0,5414.0,15
81.75,0.452488,16,0,0,5807.0,16
81.9,0.439257,16,2,0,5035.0,14
82.05,1.373008,16,1,1,4655.0,13
82.2,0.646657,16,0,1,4655.0,13
82.35,0.479996,16,0,0,5047.0,14
82.5,0.488209,16,0,0,5047.0,14
82.65,0.46436,16,1,0,4662.0,13
82.8,0.58704,16,2,1,3880.0,11
82.95,0.564928,16,1,1,3503.0,10
83.1,0.532197,16,1,1,3125.0,9
83.25,0.519379,16,0,1,3125.0,9
83.4,0.323969,16,0,0,3125.0,9
83.55,0.267901,16,2,0,2345.0,7
83.7,0.423205,16,1,1,2345.0,7
83.85,0.499862,16,0,2,2725.0,8
84.0,0.222367,16,1,0,2333.0,7
84.15,0.405939,16,0,1,2333.0,7
84.3,0.211861,16,1,0,1944.0,6
84.45,0.386445,16,1,1,2329.0,6
84.6,0.269097,16,1,1,2340.0,6
84.75,0.209596,16,0,0,2717.0,7
84.9,0.233601,16,0,0,3095.0,8
85.05,0.257493,16,0,0,3095.0,8
85.2,0.260299,16,1,0,2718.0,7
85.35,0.270895,16,0,0,3106.0,8
85.5,0.276037,16,1,0,3105.0,9
85.65,0.303634,16,0,0,3105.0,9
85.8,0.327371,16,0,0,3890.0,11
85.95,0.367281,16,0,0,3890.0,11
86.1,0.356425,16,1,0,3894.0,11
86.25,0.3586,16,1,0,3502.0,11
86.4,0.380554,16,0,0,3502.0,11
86.55,0.401449,16,0,0,3502.0,11
86.7,0.416848,16,0,0,3502.0,11
86.85,0.426898,16,0,0,3502.0,11
87.0,0.420912,16,0,0,3502.0,11
87.15,0.415602,16,0,0,3502.0,11
87.3,0.413243,16,0,0,3502.0,11
87.45,0.32161,16,2,0,2717.0,9
87.6,0.292132,16,1,0,2326.0,8
87.75,0.456673,16,1,1,2326.0,7
87.9,0.338574,16,0,1,2718.0,8
88.05,0.233752,16,1,0,2340.0,7
88.2,0.403021,16,0,1,2340.0,7
88.35,0.207369,16,1,0,1952.0,6
88.5,0.362638,16,1,1,1559.0,5
88.65,0.356243,16,0,1,1950.0,6
88.8,0.170375,16,0,0,1950.0,6
88.95,0.146148,16,1,0,1558.0,5
89.1,0.332117,16,0,1,1950.0,6
89.25,0.162652,16,0,0,1950.0,6
89.4,0.141477,16,1,0,1949.0,6
89.55,0.327824,16,0,1,1949.0,7
89.7,0.15076,16,0,0,1949.0,7
89.85,0.120882,16,2,0,1547.0,6
90.0,0.131391,16,1,0,1940.0,6
90.15,0.236155,16,0,1,2717.0,8
90.3,0.192332,16,0,0,3110.0,9
90.45,0.189129,16,1,0,2718.0,8
90.6,0.223632,16,0,0,2718.0,8
90.75,0.252857,16,0,0,3110.0,9
90.9,0.27411,16,0,0,3110.0,9
91.05,0.287173,16,0,0,3110.0,9
91.2,0.284398,16,1,0,3109.0,9
91.35,0.465716,16,1,1,2731.0,8
91.5,0.477948,16,0,1,2731.0,8
91.65,0.317157,16,0,0,2731.0,8
91.8,0.327963,16,0,0,2731.0,9
91.95,0.336876,16,0,0,2731.0,9
92.1,0.339243,16,0,0,2731.0,9
92.25,0.346974,16,0,0,2731.0,9
92.4,0.325094,16,1,0,2340.0,8
92.55,0.489008,16,1,1,1951.0,7
92.7,0.490822,16,0,1,1951.0,7
92.85,0.297181,16,0,0,1951.0,7
93.0,0.294121,16,0,0,2344.0,8
93.15,0.299154,16,0,0,2722.0,9
93.3,0.304028,16,0,0,2722.0,9
93.45,0.279703,16,1,0,2721.0,9
93.6,0.28228,16,0,0,2721.0,9
93.75,0.287551,16,0,0,2721.0,9
93.9,0.279758,16,0,0,2721.0,9
94.05,0.255426,16,1,0,2720.0,9
94.2,0.258057,17,0,0,3111.0,10
94.35,0.250214,17,1,0,3501.0,11
94.5,0.436409,17,1,1,3109.0,10
94.65,0.274947,17,0,0,3109.0,10
94.8,0.291132,17,0,0,3501.0,11
94.95,0.285768,17,1,0,3109.0,10
95.1,0.45609,17,1,1,2723.0,9
95.25,0.433434,17,1,1,2331.0,8
95.4,0.26822,17,0,0,2331.0,8
95.55,0.265433,17,1,0,2331.0,7
95.7,0.319626,17,1,1,1940.0,6
95.85,1.007804,17,0,0,1940.0,6
