tick,energy,job_queue_len,stop_and_go,turning,load_mass,moving_robots
0.15,0.0,2,0,0,0.0,0
0.3,0.078291,1,0,1,0.0,1
0.45,0.003503,0,0,0,0.0,1
0.6,0.263583,0,0,1,0.0,1
0.75,0.008174,0,0,0,0.0,1
0.9,0.01051,0,0,0,0.0,1
1.05,0.012845,0,0,0,0.0,1
1.2,0.012845,1,0,0,0.0,1
1.35,0.268254,0,0,1,0.0,1
1.5,0.0888,0,0,1,0.0,1
1.65,0.01051,0,0,0,0.0,1
1.8,0.0,0,1,0,0.0,0
1.95,0.078291,0,0,1,0.0,1
2.1,0.003503,0,0,0,0.0,1
2.25,0.005839,2,0,0,0.0,1
2.4,0.086465,1,0,1,0.0,2
2.55,0.014013,0,0,0,0.0,2
2.7,0.096975,0,0,1,0.0,2
2.85,0.021019,0,0,0,0.0,2
3.0,0.021019,0,0,0,0.0,2
3.15,0.023355,0,0,0,0.0,3
3.3,0.026858,2,0,0,0.0,3
3.45,0.094639,1,1,1,0.0,2
3.6,0.175265,0,0,2,0.0,3
3.75,0.282267,0,0,1,0.0,4
3.9,0.022187,0,1,0,0.0,3
4.05,0.107484,0,0,1,0.0,4
4.2,0.039704,2,0,0,0.0,4
4.35,0.125001,1,0,1,0.0,5
4.5,0.13551,0,0,1,0.0,6
4.65,0.148356,0,0,1,0.0,6
4.8,0.077072,0,0,0,0.0,6
4.95,0.081742,0,0,0,0.0,6
5.1,0.086414,0,0,0,0.0,7
5.25,0.089917,2,0,0,0.0,9
5.4,0.172878,1,0,1,0.0,9
5.55,0.346494,0,1,1,0.0,9
5.7,0.172878,0,0,1,0.0,10
5.85,0.094588,0,1,0,0.0,9
6.0,0.171711,0,1,1,0.0,9
6.15,0.733939,2,1,0,0.0,10
6.3,0.696326,1,0,0,0.0,11
6.45,0.195066,0,1,1,0.0,10
6.6,0.285034,0,0,2,0.0,10
6.75,0.14013,0,0,0,0.0,10
6.9,0.134291,0,1,0,0.0,10
7.05,0.906908,0,1,0,0.0,10
7.2,0.209079,3,0,1,0.0,10
7.35,0.14013,3,0,0,0.0,11
7.5,0.142466,3,1,0,0.0,10
7.65,0.198569,3,3,1,0.0,8
7.8,0.91968,3,1,2,325.604,8
7.95,0.120577,3,0,0,325.604,8
8.1,0.635423,3,1,1,0.0,8
8.25,0.133124,6,0,0,0.0,10
8.4,0.142466,6,0,0,0.0,10
8.55,0.149472,6,0,0,0.0,10
8.7,0.156479,6,0,0,0.0,11
8.85,0.3304,6,2,1,0.0,10
9.0,1.054029,6,0,1,0.0,10
9.15,0.161149,9,0,0,0.0,10
9.3,0.16582,9,0,0,0.0,11
9.45,0.171659,9,0,0,0.0,13
9.6,0.716153,9,1,1,0.0,12
9.75,0.246447,9,0,1,0.0,12
9.9,0.155311,9,1,0,0.0,11
10.05,0.238272,9,0,1,0.0,11
10.2,0.151807,12,1,0,0.0,10
10.35,0.217253,12,1,1,0.0,9
10.5,0.136627,12,0,0,397.767,10
10.65,0.128426,12,2,0,397.767,9
10.8,1.809393,12,1,1,397.767,8
10.95,0.197729,12,1,1,397.767,7
11.1,0.200826,12,0,1,397.767,7
11.25,0.127968,13,0,0,694.648,8
11.4,0.126763,13,1,0,694.648,9
11.55,0.200765,13,1,1,694.648,8
11.7,0.212419,13,0,1,694.648,9
11.85,0.149285,13,0,0,694.648,9
12.0,0.136493,13,1,0,296.881,9
12.15,0.329098,13,0,1,296.881,9
12.3,0.149363,13,0,0,296.881,9
12.45,0.15053,13,1,0,714.871,9
12.6,1.027698,13,0,3,714.871,10
12.75,0.165781,13,1,0,753.109,11
12.9,0.349735,13,0,1,753.109,11
13.05,0.213844,13,0,0,753.109,11
13.2,0.231385,13,0,0,753.109,12
13.35,0.242168,13,0,0,753.109,13
13.5,0.252032,13,0,0,753.109,13
13.65,0.259039,13,0,0,753.109,13
13.8,0.258766,13,0,0,1150.876,14
13.95,0.246432,13,1,0,732.886,13
14.1,0.446243,13,0,1,732.886,13
14.25,0.249059,13,1,0,749.297,14
14.4,0.423175,13,1,1,749.297,13
14.55,0.960102,13,0,0,1046.178,14
14.7,0.282311,13,0,0,1046.178,14
14.85,0.286597,13,0,0,1046.178,14
15.0,0.298652,13,0,0,1046.178,14
15.15,0.290453,13,1,0,1046.178,13
15.3,0.833023,13,1,0,648.411,12
15.45,0.435977,13,0,1,648.411,12
15.6,0.256193,13,0,0,648.411,12
15.75,0.294118,13,2,1,1126.182,12
15.9,0.392013,13,1,1,1126.182,11
16.05,1.072364,13,0,0,1461.301,12
16.2,0.237618,13,0,0,1461.301,12
16.35,0.413319,13,1,1,1461.301,11
16.5,0.327032,13,1,1,1461.301,10
16.65,0.322385,13,1,1,1461.301,9
16.8,0.325046,13,0,1,1461.301,9
16.95,0.254954,13,0,0,1754.386,10
17.1,0.261904,13,1,0,2152.153,10
17.25,0.330649,13,1,1,1740.842,10
17.4,0.450896,13,0,1,1740.842,11
17.55,0.28026,13,1,0,2092.372,11
17.7,0.297917,13,0,0,2092.372,11
17.85,0.493492,13,0,1,2092.372,11
18.0,0.30313,13,0,0,2444.328,12
18.15,0.313073,13,1,0,2769.932,13
18.3,1.108706,13,0,0,2769.932,14
18.45,0.326184,13,1,0,2476.847,14
18.6,0.50166,13,0,1,2476.847,14
18.75,0.346851,13,1,0,2058.857,13
18.9,0.538328,13,1,1,2058.857,13
19.05,0.431984,13,0,1,2470.168,14
19.2,0.366472,13,0,0,2470.168,14
19.35,0.382112,13,0,0,2470.168,14
19.5,0.367146,13,1,0,2548.798,14
19.65,0.523605,13,1,1,2223.194,13
19.8,0.522114,13,1,1,2223.194,12
19.95,0.456135,13,0,1,2223.194,12
20.1,0.563098,13,0,1,2223.194,13
20.25,0.385886,13,0,0,2516.279,14
20.4,0.393277,13,0,0,2516.279,14
20.55,0.390355,13,1,0,2934.269,14
20.7,1.091598,13,0,0,2934.269,15
20.85,0.408467,13,1,0,2934.269,14
21.0,0.468633,13,1,1,2503.683,13
21.15,0.588473,13,0,1,2503.683,13
21.3,0.398035,13,1,0,2504.109,13
21.45,0.57817,13,0,1,2829.713,14
21.6,0.428447,13,0,0,2829.713,15
21.75,0.449663,13,0,0,3224.956,16
21.9,0.460775,13,0,0,3224.956,16
22.05,0.458398,13,1,0,3224.956,15
22.2,1.228742,13,0,0,3224.956,15
22.35,0.457783,13,0,0,3224.956,15
22.5,0.629889,13,0,1,3224.956,15
22.65,0.447592,13,1,0,2931.871,15
22.8,0.610405,13,0,1,3362.457,16
22.95,0.446213,13,1,0,2944.467,15
23.1,0.436447,13,1,0,3713.987,16
23.25,0.491175,13,2,1,3318.744,14
23.4,0.688961,13,0,2,3318.744,14
23.55,0.445177,13,1,0,3318.744,13
23.7,0.532536,13,0,1,3318.744,13
23.85,0.465163,13,0,0,3711.92,14
24.0,0.486222,13,0,0,3711.92,14
24.15,0.501733,13,0,0,4061.872,15
24.3,0.515376,13,0,0,4061.872,15
24.45,0.510781,13,0,0,4354.957,16
24.6,0.500671,13,1,0,3936.967,15
24.75,0.700818,13,0,1,3936.967,15
24.9,0.505368,13,1,0,3936.967,15
25.05,0.56755,13,1,1,3997.091,16
25.2,0.658774,13,0,1,3997.091,16
25.35,0.46786,13,2,0,3603.915,15
25.5,1.364859,13,0,1,3603.915,15
25.65,0.470227,13,1,0,3253.963,14
25.8,0.626273,13,1,1,2902.007,13
25.95,0.636826,13,0,1,2902.007,13
26.1,0.431357,13,1,0,2504.24,12
26.25,0.432099,13,0,0,2504.24,12
26.4,0.414156,13,2,0,2922.23,11
26.55,1.973789,13,0,0,2922.23,11
26.7,0.431207,13,0,0,2922.23,11
26.85,0.421616,13,1,0,3257.349,11
27.0,0.508242,13,0,1,3257.349,11
27.15,0.435073,13,0,0,3650.525,13
27.3,1.01138,13,1,1,3650.525,12
27.45,0.532741,13,1,1,4000.477,12
27.6,1.256397,13,0,0,4352.433,13
27.75,0.50042,13,0,0,4352.433,13
27.9,0.523409,13,0,0,4750.2,14
28.05,0.554369,13,0,0,4750.2,14
28.2,0.582613,13,0,0,5144.81,15
28.35,0.792353,13,0,1,5144.81,15
28.5,0.632179,13,0,0,5144.81,15
28.65,0.642681,13,0,0,5144.81,16
28.8,0.629992,13,1,0,4749.567,15
28.95,0.81648,13,0,1,4749.567,15
29.1,0.635059,13,0,0,4749.567,16
29.25,0.620387,13,0,0,4749.567,16
29.4,1.190467,13,1,1,4351.8,15
29.55,0.761469,13,1,1,4351.8,14
29.7,1.283581,13,1,0,3957.19,13
29.85,0.708194,13,1,1,3607.238,12
30.0,0.688534,13,0,1,4001.32,13
30.15,0.492924,13,1,0,3608.144,12
30.3,0.674578,13,0,1,3608.144,12
30.45,0.494438,13,0,0,3965.406,13
30.6,0.482545,13,1,0,4360.649,13
30.75,1.218708,13,0,0,4360.649,13
30.9,0.494619,13,0,0,4360.649,13
31.05,0.473759,13,1,0,4063.768,12
31.2,0.637794,13,0,1,4461.535,13
31.35,0.493326,13,0,0,4461.535,13
31.5,1.03954,13,1,1,4462.063,13
31.65,0.625332,13,1,1,4476.896,13
31.8,0.462965,13,0,0,4476.896,13
31.95,0.437,13,2,0,4187.206,12
32.1,0.793446,13,0,2,4187.206,12
32.25,0.467131,13,0,0,4187.206,12
32.4,0.475177,13,1,0,4187.206,11
32.55,1.545079,13,0,1,4585.932,12
32.7,0.497676,13,1,0,4233.976,11
32.85,0.683707,13,0,1,4530.857,12
33.0,0.54184,13,0,0,4530.857,12
33.15,0.551733,13,0,0,4530.857,12
33.3,0.556744,13,0,0,4924.939,13
33.45,0.569523,13,0,0,4924.939,13
33.6,0.54967,13,1,0,4529.696,12
33.75,0.730508,13,0,1,5212.562,14
33.9,0.552948,13,0,0,5212.562,14
34.05,0.550341,13,1,0,5222.077,14
34.2,0.562089,13,0,0,5594.36,15
34.35,0.763755,13,0,1,5594.36,15
34.5,0.562634,13,0,0,5946.316,16
34.65,0.575418,13,0,0,5946.316,16
34.8,0.512192,13,3,0,4780.607,13
34.95,0.643356,13,2,1,3988.705,11
35.1,0.832041,13,0,2,4758.164,13
35.25,0.471411,13,1,0,4360.397,12
35.4,0.471527,13,0,0,4755.64,13
35.55,0.440184,13,2,0,4068.991,11
35.7,0.588362,13,1,1,4440.302,12
35.85,0.62485,13,0,1,4791.832,13
36.0,0.454724,13,1,0,4821.922,13
36.15,0.441296,13,1,0,4464.66,12
36.3,0.629382,13,0,1,4464.66,12
36.45,0.474419,13,0,0,4464.66,12
36.6,0.457727,13,1,0,4840.687,13
36.75,0.665288,13,0,1,5632.589,15
36.9,0.513618,13,1,0,5234.822,14
37.05,0.517694,13,0,0,5234.822,14
37.2,0.538002,13,0,0,5234.822,14
37.35,0.532783,13,1,0,5273.06,14
37.5,0.509253,13,1,0,5197.263,14
37.65,0.713072,13,0,1,5197.263,14
37.8,0.528903,13,0,0,5197.263,14
37.95,0.544494,13,0,0,5554.525,15
38.1,0.546316,13,1,0,5558.321,15
38.25,0.688067,13,2,1,4854.835,13
38.4,0.70641,13,1,1,4929.646,13
38.55,0.548515,13,0,0,6097.359,16
38.7,0.560474,13,2,0,5281.602,14
38.85,0.55592,13,1,0,4870.291,13
39.0,0.73342,13,1,1,4498.008,12
39.15,0.728378,13,0,1,4498.008,12
39.3,0.539151,13,1,0,4551.478,12
39.45,0.739709,13,0,1,4949.245,13
39.6,0.582714,13,0,0,4949.245,13
39.75,0.599199,13,0,0,4949.245,13
39.9,0.610814,13,0,0,5242.33,14
40.05,0.613493,13,0,0,5593.86,15
40.2,0.626211,13,0,0,5593.86,15
40.35,0.609045,13,1,0,5686.246,15
40.5,0.611803,13,0,0,5686.246,15
40.65,0.622273,13,0,0,6423.161,17
40.8,0.647476,13,0,0,6795.444,18
40.95,0.622218,13,2,0,6342.602,17
41.1,0.800169,13,1,1,6306.626,17
41.25,0.663691,13,0,0,6306.626,17
41.4,0.688825,13,0,0,6306.626,17
41.55,0.709057,13,0,0,6306.626,17
41.7,0.730042,13,0,0,6306.626,17
41.85,0.729135,13,1,0,5971.507,16
42.0,0.739064,13,0,0,5971.507,16
42.15,0.749419,13,0,0,6704.393,18
42.3,0.738503,13,1,0,6378.789,17
42.45,0.715726,13,2,0,5579.179,15
42.6,0.920745,13,0,1,5579.179,15
42.75,0.719722,13,0,0,5931.135,16
42.9,0.733065,13,0,0,6361.721,17
43.05,0.751617,13,0,0,6361.721,17
43.2,0.755902,13,0,0,6361.721,17
43.35,0.746351,13,0,0,6361.721,17
43.5,0.752468,13,0,0,6361.721,17
43.65,0.738786,13,1,0,5963.954,16
43.8,0.875917,13,1,1,5592.262,15
43.95,0.662567,13,0,0,5917.866,16
44.1,0.626271,13,1,0,5523.256,15
44.25,0.801589,13,0,1,5971.336,16
44.4,0.592127,13,1,0,5912.442,16
44.55,0.753195,13,1,1,5577.323,15
44.7,0.715792,13,1,1,5205.631,14
44.85,0.546019,13,0,0,5205.631,14
45.0,0.491682,13,2,0,4562.594,12
45.15,0.606584,13,2,1,4234.986,11
45.3,0.593328,13,1,1,3823.675,10
45.45,0.403502,13,2,0,3453.5,9
45.6,0.412241,13,0,0,3453.5,9
45.75,0.407792,13,0,0,3871.49,10
45.9,0.387381,13,1,0,3893.817,10
46.05,0.530282,13,1,1,3495.091,9
46.2,0.331004,13,1,0,3628.796,9
46.35,0.344728,13,0,0,3963.915,10
46.5,0.368438,13,0,0,4313.867,11
46.65,0.403089,13,0,0,4725.178,12
46.8,0.429797,13,1,0,4606.952,12
46.95,0.452019,13,0,0,5331.282,14
47.1,0.487376,13,0,0,5331.282,14
47.25,0.497196,13,1,0,5254.894,14
47.4,0.683897,13,1,1,4836.904,13
47.55,0.498647,13,0,0,5254.894,14
47.7,0.522066,13,0,0,5627.177,15
47.85,0.536719,13,1,0,5528.815,15
48.0,0.546955,13,1,0,5178.863,14
48.15,0.726115,13,0,1,5590.174,15
48.3,0.574092,13,0,0,5590.174,15
48.45,0.581106,13,1,0,5178.863,14
48.6,0.548877,13,1,0,4853.259,13
48.75,0.501108,13,2,0,4100.15,11
48.9,0.683461,13,0,1,4100.15,11
49.05,0.495926,13,0,0,4943.473,13
49.2,0.488671,13,1,0,4550.297,12
49.35,0.462644,13,1,0,4646.592,12
49.5,0.621795,13,0,1,4646.592,12
49.65,0.469169,13,1,0,4253.416,11
49.8,0.48107,13,0,0,4603.368,12
49.95,0.460646,13,1,0,4205.601,11
50.1,0.456061,13,0,0,4205.601,11
50.25,0.466486,13,0,0,4603.368,12
50.4,0.485265,13,0,0,4603.368,12
50.55,0.461686,13,1,0,4626.115,12
50.7,0.596861,13,2,1,3823.246,10
50.85,0.607563,13,0,1,3823.246,10
51.0,0.448199,13,0,0,4234.557,11
51.15,0.478027,13,0,0,4531.438,12
51.3,0.47517,13,1,0,4238.353,11
51.45,0.485715,13,0,0,4238.353,11
51.6,0.501699,13,0,0,4531.438,12
51.75,0.51358,13,0,0,4531.438,12
51.9,0.483422,13,1,0,4159.746,11
52.05,0.476277,13,0,0,4159.746,11
52.2,0.432748,13,1,0,4134.932,11
52.35,0.450106,13,0,0,4960.761,13
52.5,0.448346,13,2,0,4491.147,12
52.65,0.632051,13,1,1,4445.336,12
52.8,0.652172,13,0,1,4445.336,12
52.95,0.491575,13,0,0,4445.336,12
53.1,0.502229,13,0,0,4445.336,12
53.25,0.507919,14,0,0,4445.336,12
53.4,0.518644,14,0,0,4770.94,13
53.55,0.531979,14,0,0,5122.47,14
53.7,0.544656,14,0,0,5122.47,14
53.85,0.544391,14,0,0,5122.47,14
54.0,0.517491,14,1,0,4829.385,13
54.15,0.653974,14,1,1,4477.429,12
54.3,0.669415,15,0,1,5319.326,14
54.45,0.466021,15,1,0,5323.011,14
54.6,0.609848,15,2,1,4604.231,12
54.75,0.636768,15,0,1,4604.231,12
54.9,0.462469,15,0,0,4604.231,12
55.05,0.421909,15,2,0,3858.091,10
55.2,0.749682,15,1,2,3460.324,9
55.35,0.363051,15,1,0,3436.773,9
55.5,0.376052,15,0,0,3436.773,9
55.65,0.360849,15,1,0,3139.892,8
55.8,0.340962,15,1,0,3002.391,8
55.95,0.538337,15,0,1,3651.228,10
56.1,0.366667,15,0,0,3651.228,10
56.25,0.375736,15,0,0,4045.31,11
56.4,0.330103,15,2,0,4085.051,11
56.55,0.366059,15,0,0,4085.051,11
56.7,0.396611,15,0,0,4085.051,11
56.85,0.427162,15,0,0,4831.191,13
57.0,0.42406,15,1,0,4459.499,12
57.15,0.455828,15,0,0,4459.499,12
57.3,0.482479,15,0,0,4459.499,12
57.45,0.504091,15,0,0,4809.451,13
57.6,0.518159,15,0,0,5240.037,14
57.75,0.538649,15,0,0,5240.037,14
57.9,0.555509,15,0,0,5638.763,15
58.05,0.573946,15,0,0,5638.763,15
58.2,0.539117,15,2,0,4950.435,13
58.35,0.529147,15,1,0,4653.554,12
58.5,0.690912,15,0,1,4653.554,12
58.65,0.541155,15,0,0,5025.246,13
58.8,0.529768,15,1,0,4613.935,12
58.95,0.524769,15,0,0,4613.935,12
59.1,0.502528,15,1,0,4667.984,12
59.25,0.682529,15,0,1,5063.227,13
59.4,0.472506,15,2,0,4314.549,11
59.55,0.666133,15,0,1,4314.549,11
59.7,0.484436,15,0,0,4664.501,12
59.85,0.463901,15,1,0,4627.928,12
60.0,0.63979,15,1,1,4276.398,11
60.15,0.650407,15,0,1,4573.279,12
60.3,0.491681,16,0,0,4573.279,12
60.45,0.495876,16,0,0,4573.279,12
60.6,0.454402,16,1,0,4596.026,12
60.75,0.420198,16,1,0,4184.715,11
60.9,0.419787,16,0,0,4541.977,12
61.05,0.324869,16,3,0,3843.226,10
61.2,0.513114,16,0,1,4241.952,11
61.35,0.333938,16,1,0,3906.833,10
61.5,0.491098,16,1,1,3513.657,9
61.65,0.51096,16,0,1,3885.349,10
61.8,0.293892,16,2,0,3522.008,9
61.95,0.322718,16,0,0,3933.319,10
62.1,0.33172,16,1,0,3897.343,10
62.25,0.366226,16,0,0,3897.343,10
62.4,0.357288,16,1,0,3930.162,10
62.55,0.392505,16,0,0,3930.162,10
62.7,0.419807,16,0,0,4325.405,11
62.85,0.439177,16,0,0,4677.361,12
63.0,0.46299,16,0,0,4677.361,12
63.15,0.464883,16,1,0,4601.169,12
63.3,0.65128,16,1,1,4642.815,12
63.45,0.65949,16,0,1,4642.815,12
63.6,0.504882,16,0,0,4642.815,12
63.75,0.51489,16,0,0,4992.767,13
63.9,0.532493,16,0,0,4992.767,13
64.05,0.53647,16,0,0,4992.767,13
64.2,0.526903,16,1,0,4597.524,12
64.35,0.718189,16,0,1,4597.524,12
64.5,0.552153,16,0,0,4597.524,12
64.65,0.56211,16,0,0,4597.524,12
64.8,0.54203,16,1,0,4166.938,11
64.95,0.728079,16,0,1,4578.249,12
65.1,0.534749,16,0,0,4929.779,13
65.25,0.542451,16,0,0,4929.779,13
65.4,0.47459,16,2,0,4168.516,11
65.55,0.458417,16,0,0,4168.516,11
65.7,0.442244,16,0,0,4168.516,11
65.85,0.431826,16,0,0,4168.516,11
66.0,0.408154,16,1,0,4206.497,11
66.15,0.547603,16,1,1,3834.805,10
66.3,0.357088,16,1,0,3436.079,9
66.45,0.533612,16,0,1,3807.771,10
66.6,0.351378,16,1,0,3886.401,10
66.75,0.509088,16,1,1,3438.321,9
66.9,0.534754,16,0,1,3438.321,9
67.05,0.331563,16,1,0,3395.097,9
67.2,0.35041,16,0,0,3395.097,9
67.35,0.295016,16,2,0,2963.077,8
67.5,0.313868,16,0,0,2963.077,8
67.65,0.314307,16,0,0,2963.077,8
67.8,0.319691,16,0,0,3320.339,9
67.95,0.322457,16,0,0,3320.339,9
68.1,0.278344,16,1,0,3347.373,9
68.25,0.263899,16,1,0,2997.421,8
68.4,0.416454,16,1,1,3014.258,8
68.55,0.415044,16,0,1,3462.338,9
68.7,0.252543,16,0,0,3462.338,9
68.85,0.250843,16,1,0,3110.808,8
69.0,0.412616,16,1,1,3111.336,8
69.15,0.256111,16,0,0,3111.336,8
69.3,0.266932,16,0,0,3111.336,8
69.45,0.283445,16,0,0,3111.336,8
69.6,0.281798,16,1,0,2739.053,7
69.75,0.438777,16,1,1,2345.877,6
69.9,0.444641,16,0,1,2739.959,7
70.05,0.261778,16,0,0,3089.911,8
70.2,0.269695,16,0,0,3425.03,9
70.35,0.2825,16,0,0,3425.03,9
70.5,0.244101,16,2,0,2635.177,7
70.65,0.44078,16,0,1,2986.707,8
70.8,0.404609,16,1,1,3029.994,8
70.95,0.95135,16,0,0,3029.994,8
71.1,0.276889,15,0,0,3029.994,8
71.25,0.286114,15,0,0,3029.994,8
71.4,0.276848,15,1,0,3008.195,8
71.55,0.451436,15,1,1,3006.128,8
71.7,0.282706,15,0,0,3299.213,9
71.85,0.288954,15,0,0,3299.213,9
72.0,0.303834,15,0,0,3299.213,9
72.15,0.324538,15,0,0,3299.213,9
72.3,0.322583,16,1,0,3336.561,9
72.45,0.351766,16,0,0,3633.442,10
72.6,0.350295,16,1,0,3591.978,11
72.75,0.367085,16,0,0,3591.978,11
72.9,0.384881,16,0,0,3990.704,12
73.05,0.410546,16,0,0,3990.704,12
73.2,0.367183,16,2,0,3698.525,11
73.35,0.537934,16,0,1,3698.525,11
73.5,0.406563,16,0,0,3698.525,11
73.65,0.430265,16,0,0,3698.525,11
73.8,0.438719,16,0,0,4129.111,12
73.95,0.417524,16,1,0,3779.159,11
74.1,0.421359,16,0,0,4104.763,12
74.25,0.425048,17,0,0,4104.763,12
74.4,0.426173,17,0,0,4104.763,12
74.55,0.391149,17,1,0,4077.729,12
74.7,0.387632,17,1,0,4135.786,12
74.85,0.551116,17,1,1,3838.905,11
75.0,0.523329,17,1,1,4169.971,12
75.15,0.531374,17,1,1,3818.441,11
75.3,0.531873,17,0,1,3818.441,11
75.45,0.366629,17,0,0,4168.393,12
75.6,0.346462,17,1,0,3842.789,11
75.75,0.48246,17,1,1,3471.097,10
75.9,0.471867,17,1,1,3077.921,9
76.05,0.269891,17,1,0,2647.335,8
76.2,0.263867,17,0,0,2647.335,8
76.35,0.209854,17,1,0,2252.092,7
76.5,0.164881,17,2,0,1864.976,6
76.65,0.334179,17,0,1,2161.857,7
76.8,0.140912,17,1,0,2474.461,8
76.95,0.146856,17,1,0,2431.909,8
77.1,0.157898,17,1,0,2826.519,8
77.25,0.427702,17,1,2,2870.649,8
77.4,0.194785,17,0,0,3196.253,9
77.55,0.228035,17,0,0,3567.945,10
77.7,0.257102,17,0,0,3567.945,10
77.85,0.261994,17,1,0,3119.865,9
78.0,0.453483,17,1,1,2725.783,8
78.15,0.252983,17,1,0,2428.902,7
78.3,0.418977,17,0,1,3196.428,9
78.45,0.25103,17,1,0,2839.166,8
78.6,0.271776,17,0,0,3189.118,9
78.75,0.289475,17,0,0,3189.118,9
78.9,0.282394,17,1,0,3251.766,10
79.05,0.961177,17,0,0,3251.766,10
79.2,0.283187,16,1,0,2880.074,9
79.35,0.295835,16,0,0,2880.074,9
79.5,0.289563,16,1,0,2485.464,8
79.65,0.464539,16,1,1,2538.301,8
79.8,0.486441,16,0,1,2538.301,8
79.95,0.318596,16,0,0,3246.493,10
80.1,0.301747,16,1,0,3314.531,10
80.25,0.32614,17,0,0,3314.531,10
80.4,0.342665,17,0,0,3314.531,10
80.55,0.356495,17,0,0,3314.531,10
80.7,0.370325,17,0,0,3314.531,10
80.85,0.62642,17,0,1,3713.257,11
81.0,0.371462,17,0,0,3713.257,11
81.15,0.366526,17,0,0,3713.257,11
81.3,0.312759,17,3,0,3692.871,10
81.45,0.770327,17,0,3,4088.114,11
81.6,0.273501,17,2,0,3373.243,9
81.75,0.466201,17,0,1,3373.243,9
81.9,0.28454,17,0,0,3373.243,9
82.05,0.218687,17,3,0,2228.377,6
82.2,0.536181,17,1,2,1833.134,5
82.35,0.173282,17,0,0,1833.134,5
82.5,0.150412,17,1,0,1507.53,4
82.65,0.27315,17,1,1,1113.448,3
82.8,0.086335,17,1,0,741.165,2
82.95,0.080511,17,0,0,741.165,2
83.1,0.074687,17,0,0,1922.526,6
83.25,0.096672,17,0,0,1922.526,6
83.4,0.094827,17,1,0,1892.436,6
83.55,0.103433,17,1,0,1520.153,5
83.7,0.122327,17,0,0,1968.233,6
83.85,0.149958,17,0,0,2718.489,8
84.0,0.185012,17,0,0,2718.489,9
84.15,0.212881,17,0,0,2718.489,9
84.3,0.239477,17,0,0,3044.093,10
84.45,0.273379,17,0,0,3044.093,10
84.6,0.280401,17,1,0,3040.408,10
84.75,0.494195,17,0,1,3040.408,10
84.9,0.332937,17,0,0,3040.408,10
85.05,0.34041,17,0,0,3412.691,11
85.2,0.363606,17,0,0,3412.691,11
85.35,0.335435,17,1,0,2964.611,10
85.5,0.299599,17,2,0,2553.3,8
85.65,0.56278,17,0,2,2553.3,8
85.8,0.301189,17,0,0,2946.476,9
85.95,0.285129,17,1,0,2982.98,9
86.1,0.480352,17,0,1,2982.98,9
86.25,0.283489,19,1,0,2584.254,8
86.4,0.28762,19,0,0,2982.021,9
86.55,0.262527,19,1,0,3338.692,10
86.7,0.284094,19,0,0,3338.692,10
86.85,0.264698,19,1,0,2987.162,9
87.0,0.432994,19,0,1,3679.286,11
87.15,0.291497,19,0,0,4073.896,12
87.3,0.289545,19,2,0,4145.102,13
87.45,0.471012,19,1,1,3714.516,12
87.6,0.474184,19,1,1,3714.516,11
87.75,0.334394,19,2,1,3379.644,10
87.9,0.287962,19,0,0,3827.724,11
88.05,0.259465,19,2,0,3136.872,9
88.2,0.428342,19,0,1,3136.872,9
88.35,0.231067,19,1,0,2741.629,8
88.5,0.204073,19,1,0,2347.019,7
88.65,0.199737,19,1,0,2720.88,8
88.8,0.372503,19,1,1,2309.569,7
88.95,0.397868,19,0,1,2309.569,7
89.1,0.201207,19,1,0,2254.665,7
89.25,0.419703,19,0,1,2685.251,8
89.4,0.213056,19,1,0,2291.169,8
89.55,0.232716,19,0,0,2291.169,8
89.7,0.245974,19,0,0,2291.169,8
89.85,0.259393,19,0,0,2584.254,9
90.0,0.256186,19,1,0,2211.971,8
90.15,0.449668,19,0,1,2211.971,8
90.3,0.284852,19,0,0,2211.971,8
90.45,0.293146,19,0,0,2561.923,9
90.6,0.311364,19,0,0,2973.234,10
90.75,0.330418,19,0,0,2973.234,10
90.9,0.308179,19,2,0,3071.362,9
91.05,0.377918,19,1,1,2719.832,8
91.2,0.481018,19,0,1,2719.832,8
91.35,0.250733,19,3,0,1567.356,5
91.5,0.82518,19,0,0,1567.356,5
91.65,0.250733,18,0,0,1567.356,5
91.8,0.250733,18,0,0,1939.639,6
91.95,0.258584,18,0,0,1939.639,6
92.1,0.263818,18,0,0,1939.639,6
92.25,0.269051,18,0,0,1939.639,6
92.4,0.269415,18,0,0,1939.639,6
92.55,0.235596,18,1,0,1567.356,5
92.7,0.235596,18,0,0,1567.356,6
92.85,0.2391,18,0,0,1918.886,7
93.0,0.238777,18,0,0,1918.886,7
93.15,0.235918,18,0,0,1918.886,7
93.3,0.313884,18,0,1,1918.886,7
93.45,0.237411,18,0,0,1918.886,7
93.6,0.239949,18,0,0,1918.886,7
93.75,0.229682,18,0,0,1918.886,7
93.9,0.206418,18,0,0,1918.886,7
94.05,0.178386,18,1,0,1950.544,7
94.2,0.330437,19,1,1,1557.368,6
94.35,0.328028,19,1,1,1205.838,5
94.5,0.835657,19,0,0,1600.448,6
94.65,0.154296,18,0,0,1600.448,6
94.8,0.161567,18,0,0,2048.528,7
94.95,0.173374,18,0,0,2048.528,8
95.1,0.147329,18,2,0,1630.538,6
95.25,0.42656,18,0,2,1630.538,6
95.4,0.16672,18,0,0,1630.538,6
95.55,0.144111,18,1,0,1273.276,5
95.7,0.321459,18,0,1,1273.276,5
95.85,0.13376,18,1,0,1204.27,5
